Angle,Right index finger traces angle of left horizontal L-hand.,SEE,420
Regular,Right index above left, both pointing forward, right makes small clockwise circles, hitting left on each cycle,SEE,421
Same,Palm-down parallel index fingers touch sides together.,SEE,422
Synonym,Left index and right S-hand, palms-down, tap sides together.,SEE,423
Square,Indexes draw a square.,SEE,424
Rectangle,R's outline rectangle.,SEE,425
Perimeter,Middle fingertips of P's touch, outline horizontal rectangle and touch again,SEE,426
Lake,Palm-down L-thumbs touch, circle outward, shaking, touch again,SEE,427
Pond,Middle finger of P's touch, separate shaking outward and forward in a circle, touch again.,SEE,428
Cause,Palm-up A's, left more ahead of right, drop and open.,SEE,429
Compete,Extended-A's, palms-facing, move alternately back and forth, not touching.,SEE,430
Quiet,Flat hands cross under chin and separate downwards,SEE,431
Calm,C-hands slighty crosses near chin separate downwards.,SEE,432
Gentle,G-hands, one behind the other at chin separate downwards.    ,SEE,433
Peace,P-hands, left in front of right at chin separate downwards,SEE,434
Silent,S's one behind the other at chin separate downwards,SEE,435
Faith,Touch forehead with index, drop to S on S at shoulder level.,SEE,436
Fix,Thumbs of F's together, left is stationary right twists down from wrist, repeat.,SEE,437
Mend,Fingertips of M-hands touch, then right hand twist,SEE,438
Repair,R-tips touch, twist in opposite directios and touch again,SEE,439
Start,Right index between left index and middle finger of 5-hand, twist right hand.,SEE,440
Begin,Index twists of wrist of left B-hand.,SEE,441
